t phi
3.200000000000000067e-01 5.256832521505969691e-01
3.200000000000000067e-01 5.256832521505969691e-01
3.200000000000000067e-01 5.256832521505969691e-01
6.400000000000000133e-01 5.256864592479439935e-01
6.400000000000000133e-01 5.256864592479439935e-01
6.400000000000000133e-01 5.256864592479439935e-01
9.599999999999999645e-01 5.256889426349190542e-01
9.599999999999999645e-01 5.256889426349190542e-01
9.599999999999999645e-01 5.256889426349190542e-01
1.280000000000000027e+00 5.256910111506639671e-01
1.280000000000000027e+00 5.256910111506639671e-01
1.280000000000000027e+00 5.256910111506639671e-01
1.600000000000000089e+00 5.256957862151080407e-01
1.600000000000000089e+00 5.256957862151080407e-01
1.600000000000000089e+00 5.256957862151080407e-01
1.919999999999999929e+00 5.257031220555870021e-01
1.919999999999999929e+00 5.257031220555870021e-01
1.919999999999999929e+00 5.257031220555870021e-01
2.240000000000000213e+00 5.257108620311650160e-01
2.240000000000000213e+00 5.257108620311650160e-01
2.240000000000000213e+00 5.257108620311650160e-01
2.560000000000000053e+00 5.257183539284140394e-01
2.560000000000000053e+00 5.257183539284140394e-01
2.560000000000000053e+00 5.257183539284140394e-01
2.879999999999999893e+00 5.257264385597619771e-01
2.879999999999999893e+00 5.257264385597619771e-01
2.879999999999999893e+00 5.257264385597619771e-01
3.200000000000000178e+00 5.257359405106259986e-01
3.200000000000000178e+00 5.257359405106259986e-01
3.200000000000000178e+00 5.257359405106259986e-01
3.520000000000000018e+00 5.257476965055509766e-01
3.520000000000000018e+00 5.257476965055509766e-01
3.520000000000000018e+00 5.257476965055509766e-01
3.839999999999999858e+00 5.257626699304329687e-01
3.839999999999999858e+00 5.257626699304329687e-01
3.839999999999999858e+00 5.257626699304329687e-01
4.160000000000000142e+00 5.257800124518009488e-01
4.160000000000000142e+00 5.257800124518009488e-01
4.160000000000000142e+00 5.257800124518009488e-01
4.480000000000000426e+00 5.257968421533659731e-01
4.480000000000000426e+00 5.257968421533659731e-01
4.480000000000000426e+00 5.257968421533659731e-01
4.799999999999999822e+00 5.258117888625200020e-01
4.799999999999999822e+00 5.258117888625200020e-01
4.799999999999999822e+00 5.258117888625200020e-01
5.120000000000000107e+00 5.258271893713399869e-01
5.120000000000000107e+00 5.258271893713399869e-01
5.120000000000000107e+00 5.258271893713399869e-01
5.440000000000000391e+00 5.258465019778649774e-01
5.440000000000000391e+00 5.258465019778649774e-01
5.440000000000000391e+00 5.258465019778649774e-01
5.759999999999999787e+00 5.258704757080340242e-01
5.759999999999999787e+00 5.258704757080340242e-01
5.759999999999999787e+00 5.258704757080340242e-01
6.080000000000000071e+00 5.258969009907680237e-01
6.080000000000000071e+00 5.258969009907680237e-01
6.080000000000000071e+00 5.258969009907680237e-01
