t phi
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
8.000000000000000167e-02 -2.628503206280780134e-03
8.000000000000000167e-02 -2.628503206280780134e-03
8.000000000000000167e-02 -2.628503206280780134e-03
1.600000000000000033e-01 -2.628503870806649795e-03
1.600000000000000033e-01 -2.628503870806649795e-03
1.600000000000000033e-01 -2.628503870806649795e-03
1.600000000000000033e-01 -2.628503870806649795e-03
2.399999999999999911e-01 -2.628502493696760131e-03
2.399999999999999911e-01 -2.628502493696760131e-03
2.399999999999999911e-01 -2.628502493696760131e-03
3.200000000000000067e-01 -2.628505130939819915e-03
3.200000000000000067e-01 -2.628505130939819915e-03
3.200000000000000067e-01 -2.628505130939819915e-03
3.200000000000000067e-01 -2.628505130939819915e-03
4.000000000000000222e-01 -2.628501371466579820e-03
4.000000000000000222e-01 -2.628501371466579820e-03
4.000000000000000222e-01 -2.628501371466579820e-03
4.799999999999999822e-01 -2.628500510103620128e-03
4.799999999999999822e-01 -2.628500510103620128e-03
4.799999999999999822e-01 -2.628500510103620128e-03
4.799999999999999822e-01 -2.628500510103620128e-03
5.600000000000000533e-01 -2.628504651465119954e-03
5.600000000000000533e-01 -2.628504651465119954e-03
5.600000000000000533e-01 -2.628504651465119954e-03
6.400000000000000133e-01 -2.628506304716780092e-03
6.400000000000000133e-01 -2.628506304716780092e-03
6.400000000000000133e-01 -2.628506304716780092e-03
6.400000000000000133e-01 -2.628506304716780092e-03
7.199999999999999734e-01 -2.628503206960339841e-03
7.199999999999999734e-01 -2.628503206960339841e-03
7.199999999999999734e-01 -2.628503206960339841e-03
8.000000000000000444e-01 -2.628501393331789983e-03
8.000000000000000444e-01 -2.628501393331789983e-03
8.000000000000000444e-01 -2.628501393331789983e-03
8.000000000000000444e-01 -2.628501393331789983e-03
8.800000000000000044e-01 -2.628504735769299910e-03
8.800000000000000044e-01 -2.628504735769299910e-03
8.800000000000000044e-01 -2.628504735769299910e-03
9.599999999999999645e-01 -2.628508511416609902e-03
9.599999999999999645e-01 -2.628508511416609902e-03
9.599999999999999645e-01 -2.628508511416609902e-03
9.599999999999999645e-01 -2.628508511416609902e-03
1.040000000000000036e+00 -2.628507316837040090e-03
1.040000000000000036e+00 -2.628507316837040090e-03
1.040000000000000036e+00 -2.628507316837040090e-03
1.120000000000000107e+00 -2.628502905396729820e-03
1.120000000000000107e+00 -2.628502905396729820e-03
1.120000000000000107e+00 -2.628502905396729820e-03
1.120000000000000107e+00 -2.628502905396729820e-03
1.199999999999999956e+00 -2.628500907298290078e-03
1.199999999999999956e+00 -2.628500907298290078e-03
1.199999999999999956e+00 -2.628500907298290078e-03
1.280000000000000027e+00 -2.628503636260570188e-03
1.280000000000000027e+00 -2.628503636260570188e-03
1.280000000000000027e+00 -2.628503636260570188e-03
1.280000000000000027e+00 -2.628503636260570188e-03
1.360000000000000098e+00 -2.628508571279069943e-03
1.360000000000000098e+00 -2.628508571279069943e-03
1.360000000000000098e+00 -2.628508571279069943e-03
1.439999999999999947e+00 -2.628512145479849904e-03
1.439999999999999947e+00 -2.628512145479849904e-03
1.439999999999999947e+00 -2.628512145479849904e-03
1.439999999999999947e+00 -2.628512145479849904e-03
1.520000000000000018e+00 -2.628513005615969785e-03
1.520000000000000018e+00 -2.628513005615969785e-03
1.520000000000000018e+00 -2.628513005615969785e-03
1.600000000000000089e+00 -2.628511836850990022e-03
1.600000000000000089e+00 -2.628511836850990022e-03
