t rho
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
2.500000000000000000e-01 2.211104651890609830e-03
2.500000000000000000e-01 2.211104651890609830e-03
2.500000000000000000e-01 2.211104651890609830e-03
5.000000000000000000e-01 2.211105220931409987e-03
5.000000000000000000e-01 2.211105220931409987e-03
5.000000000000000000e-01 2.211105220931409987e-03
7.500000000000000000e-01 2.211120094232360209e-03
7.500000000000000000e-01 2.211120094232360209e-03
7.500000000000000000e-01 2.211120094232360209e-03
1.000000000000000000e+00 2.211124945567520192e-03
1.000000000000000000e+00 2.211124945567520192e-03
1.000000000000000000e+00 2.211124945567520192e-03
1.250000000000000000e+00 2.211132557583009913e-03
1.250000000000000000e+00 2.211132557583009913e-03
1.250000000000000000e+00 2.211132557583009913e-03
1.500000000000000000e+00 2.211135990344770090e-03
1.500000000000000000e+00 2.211135990344770090e-03
1.500000000000000000e+00 2.211135990344770090e-03
1.750000000000000000e+00 2.211155691270700208e-03
1.750000000000000000e+00 2.211155691270700208e-03
1.750000000000000000e+00 2.211155691270700208e-03
2.000000000000000000e+00 2.211158713600119927e-03
2.000000000000000000e+00 2.211158713600119927e-03
2.000000000000000000e+00 2.211158713600119927e-03
2.250000000000000000e+00 2.211133905747320137e-03
2.250000000000000000e+00 2.211133905747320137e-03
2.250000000000000000e+00 2.211133905747320137e-03
2.500000000000000000e+00 2.211123527121129900e-03
2.500000000000000000e+00 2.211123527121129900e-03
2.500000000000000000e+00 2.211123527121129900e-03
2.750000000000000000e+00 2.211137544279229931e-03
2.750000000000000000e+00 2.211137544279229931e-03
2.750000000000000000e+00 2.211137544279229931e-03
3.000000000000000000e+00 2.211160544995380197e-03
3.000000000000000000e+00 2.211160544995380197e-03
3.000000000000000000e+00 2.211160544995380197e-03
3.250000000000000000e+00 2.211161821734349952e-03
3.250000000000000000e+00 2.211161821734349952e-03
3.250000000000000000e+00 2.211161821734349952e-03
3.500000000000000000e+00 2.211168312070760193e-03
3.500000000000000000e+00 2.211168312070760193e-03
3.500000000000000000e+00 2.211168312070760193e-03
3.750000000000000000e+00 2.211177472234579933e-03
3.750000000000000000e+00 2.211177472234579933e-03
3.750000000000000000e+00 2.211177472234579933e-03
4.000000000000000000e+00 2.211184917380910105e-03
4.000000000000000000e+00 2.211184917380910105e-03
4.000000000000000000e+00 2.211184917380910105e-03
4.250000000000000000e+00 2.211172724544110003e-03
4.250000000000000000e+00 2.211172724544110003e-03
4.250000000000000000e+00 2.211172724544110003e-03
4.500000000000000000e+00 2.211170224896960145e-03
4.500000000000000000e+00 2.211170224896960145e-03
4.500000000000000000e+00 2.211170224896960145e-03
4.750000000000000000e+00 2.211169062403459812e-03
4.750000000000000000e+00 2.211169062403459812e-03
4.750000000000000000e+00 2.211169062403459812e-03
5.000000000000000000e+00 2.211160716362819967e-03
5.000000000000000000e+00 2.211160716362819967e-03
5.000000000000000000e+00 2.211160716362819967e-03
5.250000000000000000e+00 2.211164497322910122e-03
5.250000000000000000e+00 2.211164497322910122e-03
5.250000000000000000e+00 2.211164497322910122e-03
5.500000000000000000e+00 2.211169905852879928e-03
5.500000000000000000e+00 2.211169905852879928e-03
5.500000000000000000e+00 2.211169905852879928e-03
5.750000000000000000e+00 2.211177734695559966e-03
5.750000000000000000e+00 2.211177734695559966e-03
5.750000000000000000e+00 2.211177734695559966e-03
6.000000000000000000e+00 2.211202565119940212e-03
6.000000000000000000e+00 2.211202565119940212e-03
6.000000000000000000e+00 2.211202565119940212e-03
6.250000000000000000e+00 2.211204521234780198e-03
6.250000000000000000e+00 2.211204521234780198e-03
6.250000000000000000e+00 2.211204521234780198e-03
6.500000000000000000e+00 2.211199762425250168e-03
6.500000000000000000e+00 2.211199762425250168e-03
6.500000000000000000e+00 2.211199762425250168e-03
6.750000000000000000e+00 2.211191582286840211e-03
6.750000000000000000e+00 2.211191582286840211e-03
6.750000000000000000e+00 2.211191582286840211e-03
7.000000000000000000e+00 2.211200634228950145e-03
7.000000000000000000e+00 2.211200634228950145e-03
7.000000000000000000e+00 2.211200634228950145e-03
7.250000000000000000e+00 2.211211149235140123e-03
7.250000000000000000e+00 2.211211149235140123e-03
7.250000000000000000e+00 2.211211149235140123e-03
7.500000000000000000e+00 2.211212658756929808e-03
7.500000000000000000e+00 2.211212658756929808e-03
7.500000000000000000e+00 2.211212658756929808e-03
7.750000000000000000e+00 2.211226864401989820e-03
7.750000000000000000e+00 2.211226864401989820e-03
7.750000000000000000e+00 2.211226864401989820e-03
8.000000000000000000e+00 2.211229253087620191e-03
8.000000000000000000e+00 2.211229253087620191e-03
8.000000000000000000e+00 2.211229253087620191e-03
8.250000000000000000e+00 2.211234451566449887e-03
8.250000000000000000e+00 2.211234451566449887e-03
8.250000000000000000e+00 2.211234451566449887e-03
8.500000000000000000e+00 2.211233417379839840e-03
8.500000000000000000e+00 2.211233417379839840e-03
8.500000000000000000e+00 2.211233417379839840e-03
8.750000000000000000e+00 2.211231850472090022e-03
8.750000000000000000e+00 2.211231850472090022e-03
8.750000000000000000e+00 2.211231850472090022e-03
9.000000000000000000e+00 2.211238575838249832e-03
9.000000000000000000e+00 2.211238575838249832e-03
9.000000000000000000e+00 2.211238575838249832e-03
9.250000000000000000e+00 2.211239072388839974e-03
9.250000000000000000e+00 2.211239072388839974e-03
9.250000000000000000e+00 2.211239072388839974e-03
9.500000000000000000e+00 2.211238107936369830e-03
9.500000000000000000e+00 2.211238107936369830e-03
9.500000000000000000e+00 2.211238107936369830e-03
9.750000000000000000e+00 2.211236092933569798e-03
